Google Flu Trends - France
Copyright 2015 Google Inc.

Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).
If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Flu Trends (http://www.google.org/flutrends)".

Each week begins on the Sunday (Pacific Time) indicated for the row.
Data for the current week will be updated each day until Saturday (Pacific Time).
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.
For more information, please visit http://www.google.org/flutrends

Date,France,Alsace,Aquitaine,Auvergne,Burgundy,Brittany,Centre,Champagne-Ardenne,Franche-Comte,Ile-de-France,Languedoc-Roussillon,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Normandy - Lower,Normandy - Upper,Pays de la Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote d'Azur,Rhône-Alpes
2003-09-28,25,,,,,,,,,19,,,,,,,,,,,
2003-10-05,25,,,,,,,,,20,,,,,,,,,,,
2003-10-12,30,,,,,,,,,21,,,,,,,,,,,
2003-10-19,81,,,,,,,,,65,,,,,,,,,,,
2003-10-26,82,,,,,,,,,51,,,,,,,,,,,92
2003-11-02,48,,,,,32,,,,37,,,,,,,,,,,122
2003-11-09,146,50,,,,77,,,,104,,,,75,,,34,,,36,130
2003-11-16,274,62,62,,,121,,,,199,,,30,149,,,63,,,49,259
2003-11-23,877,91,210,,,404,,,,805,,,140,363,,,191,,,198,664
2003-11-30,1282,318,574,,,684,,,,1050,,,572,413,,,284,,,683,1155
2003-12-07,634,351,401,,,274,,,,436,,,339,364,,,247,,,586,560
2003-12-14,457,255,281,,,196,,,,331,,,260,294,,,208,,,438,635
2003-12-21,275,213,218,,,125,,,,207,,,219,234,,,145,,,384,567
2003-12-28,154,163,162,,,116,,,,84,,,192,194,,,111,,,259,377
2004-01-04,71,129,115,,,103,,,,48,,,93,147,,,73,,,166,198
2004-01-11,44,88,80,,,64,,,,24,,,54,103,,,45,,,99,130
2004-01-18,29,66,53,,,46,,,,19,,,28,77,,,33,,,63,78
2004-01-25,30,49,43,,,33,,,,21,,,18,68,,,25,,,43,70
2004-02-01,32,48,33,,,29,,,,21,,,13,59,,,21,,,35,42
2004-02-08,22,43,29,,,24,,,,14,,,11,53,,,18,,,29,44
2004-02-15,23,34,25,,,22,,,,17,,,10,49,,,19,,,22,36
2004-02-22,31,34,27,,,23,,,,19,,,15,56,,,16,,,24,36
2004-02-29,16,35,23,,,23,,,,9,,,15,53,,,14,,,22,37
2004-03-07,18,37,21,,,24,,,,13,,,15,46,,,15,,,22,33
2004-03-14,14,36,22,,,22,,,,8,,,13,45,,,13,,,17,31
2004-03-21,15,36,20,,,20,,,,9,,,11,45,,,13,,,12,27
2004-03-28,15,38,17,,,18,,,,9,,,9,45,,,13,,,10,29
2004-04-04,9,33,18,,,15,,,,6,,,10,41,,,13,,,8,26
2004-04-11,11,30,17,,,14,,,,8,,,9,42,,,12,,,6,29
2004-04-18,7,32,14,,,11,,,,5,,,7,36,,,10,,,6,28
2004-04-25,8,28,13,,,10,,,,6,,,5,43,,,10,,,5,23
2004-05-02,11,24,11,,,12,,,,6,,,4,48,,,10,,,4,18
2004-05-09,9,20,11,,,11,,,,6,,,4,44,,,9,,,4,15
2004-05-16,5,20,10,,,9,,,,2,,,4,43,,,8,,,3,12
2004-05-23,7,17,11,,,9,,,,4,,,4,47,,,7,,,3,11
2004-05-30,8,14,9,,,9,,,,5,,,3,48,,,8,,,2,11
2004-06-06,6,13,9,,,9,,,,3,,,3,47,,,7,,,2,14
2004-06-13,4,12,10,,,9,,,,3,,,3,39,,,6,,,2,13
2004-06-20,4,11,9,,,9,,,,2,,,3,36,,,5,,,2,16
2004-06-27,4,10,9,,,8,,,,3,,,3,29,,,5,,,2,15
2004-07-04,5,9,8,,,6,,,,3,,,3,29,,,5,,,2,16
2004-07-11,5,9,7,,,6,,,,3,,,3,30,,,6,,,2,16
2004-07-18,5,8,7,,,5,,,,3,,,3,33,,,6,,,3,14
2004-07-25,4,7,7,,,5,,,,3,,,3,31,,,6,,,3,12
2004-08-01,4,7,7,,,6,,,,3,,,3,33,,,6,,,4,14
2004-08-08,9,7,7,,,6,,,,6,,,3,42,,,6,,,5,15
2004-08-15,7,7,6,,,5,,,,4,,,3,56,,,6,,,4,15
2004-08-22,8,7,6,,,5,,,,5,,,3,71,,,6,,,4,13
2004-08-29,6,7,6,,,5,,,,4,,,3,67,,,7,,,5,12
2004-09-05,10,8,6,,,5,,,,7,,,3,79,,,10,,,4,11
2004-09-12,13,9,6,,,5,,,,8,,,6,66,,,10,,,5,16
2004-09-19,33,14,8,,,8,,,,23,,,13,60,,,11,,,6,25
2004-09-26,40,15,11,,,10,,,,26,,,30,61,,,16,,,12,54
2004-10-03,51,22,16,,,19,,,,34,,,30,67,,,25,,,28,71
2004-10-10,55,33,28,,,26,,,,38,,7,23,76,,,30,,,43,75
2004-10-17,51,45,31,,,32,,,,31,,10,17,92,,,42,,,38,90
2004-10-24,40,61,29,,,40,,,,23,,14,19,92,,,45,,17,35,85
2004-10-31,52,68,35,,,42,,,,29,,13,23,94,20,,38,,25,36,83
2004-11-07,36,56,34,,,43,,,,20,,20,25,82,23,,34,,23,37,81
2004-11-14,46,47,47,,,52,,,,32,22,20,25,88,27,,27,,20,39,100
2004-11-21,62,41,42,,,56,,58,,43,34,27,24,98,33,,28,,24,30,84
2004-11-28,76,41,41,,,70,27,76,,52,39,31,21,233,31,,22,,26,26,74
2004-12-05,95,46,44,,,75,43,72,,56,48,45,35,190,33,,28,,27,44,107
2004-12-12,100,86,39,,,88,42,72,,62,45,67,59,174,36,,39,,28,65,119
